file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
output_DRCsetA.txt	C	QG0214-C	4	2	4.65545	2	17
output_DRCsetA.txt	C	QG0215-C	3	1	3.32886	1	12
output_DRCsetA.txt	C	QG0216-C	2	1	2.91809	1	11
output_DRCsetA.txt	C	QG0217-C	4	2	3.55427	2	13
output_DRCsetA.txt	C	QG0218-C	2	1	2.7292	1	10
output_DRCsetA.txt	C	QG0219-C	2	1	2.56152	1	9
output_DRCsetA.txt	C	QG0220-C	2	1	2.91453	1	11.025
output_DRCsetA.txt	C	QG0221-C	4	2	4.45408	2	16
output_DRCsetA.txt	C	QG0223-C	2	1	3.26016	1	12
output_DRCsetA.txt	C	QG0224-C	4	2	4.30374	2	15
output_DRCsetA.txt	C	QG0225-C	3	1	4.23329	1	16
output_DRCsetA.txt	C	QG0226-C	4	2	3.47209	2	13
output_DRCsetA.txt	C	QG0228-C	2	1	2.73921	1	9.02499999999998
output_DRCsetA.txt	C	QG0229-C	4	2	4.0827	2	15
output_DRCsetA.txt	C	QG0230-C	4	2	3.65852	2	14
output_DRCsetA.txt	C	QG0231-C	5	2	5.49052	2	18
output_DRCsetA.txt	C	QG0232-C	3	1	3.38925	1	12
output_DRCsetA.txt	C	QG0233-C	2	1	3.23751	1	11
output_DRCsetA.txt	C	QG0234-C	4	2	4.27022	2	15
output_DRCsetA.txt	C	QG0235-C	5	2	5.64006	2	19.025
output_DRCsetA.txt	C	QG0236-C	2	1	2.99941	1	11
output_DRCsetA.txt	C	QG0237-C	3	2	3.24693	2	13
output_DRCsetA.txt	C	QG0238-C	5	2	6.54683	2	21
output_DRCsetA.txt	C	QG0239-C	2	1	2.99684	1	10
output_DRCsetA.txt	C	QG0240-C	4	2	4.45611	2	16
output_DRCsetA.txt	C	QG0241-C	3	2	2.74983	2	11
output_DRCsetA.txt	C	QG0243-C	2	1	2.84671	1	10
output_DRCsetA.txt	C	QG0244-C	4	2	4.82081	2	18
output_DRCsetA.txt	C	QG0245-C	3	1	3.89846	1	14
output_DRCsetA.txt	C	QG0246-C	3	1	3.53402	1	12
output_DRCsetA.txt	C	QG0247-C	2	1	2.71462	1	11
output_DRCsetA.txt	C	QG0248-C	5	2	5.82624	2	20
output_DRCsetA.txt	C	QG0249-C	2	1	2.48793	1	9
output_DRCsetA.txt	C	QG0250-C	1	1	1.9699	1	9
output_DRCsetA.txt	C	QG0251-C	8	5	7.577	4	25
output_DRCsetA.txt	C	QG0252-C	3	1	3.39664	1	11.025
output_DRCsetA.txt	C	QG0253-C	5	2	6.2669	2	22
output_DRCsetA.txt	C	QG0254-C	5	2	6.24871	2	20
output_DRCsetA.txt	C	QG0255-C	3	1	3.35217	1	12
output_DRCsetA.txt	C	QG0256-C	3	1	3.37442	1	12
output_DRCsetA.txt	C	QG0257-C	3	1	3.88723	1	15
output_DRCsetA.txt	C	QG0258-C	2	1	3.15658	1	12
output_DRCsetA.txt	C	QG0259-C	4	2	4.35494	2	16
output_DRCsetA.txt	C	QG0260-C	3	2	2.93566	2	11
output_DRCsetA.txt	C	QG0261-C	3	1	3.53569	1	12
output_DRCsetA.txt	C	QG0262-C	3	1	3.45057	1	12
output_DRCsetA.txt	C	QG0263-C	3	1	4.45229	1	15
output_DRCsetA.txt	C	QG0264-C	2	1	3.19725	1	11
output_DRCsetA.txt	C	QG0265-C	2	1	3.25167	1	14
output_DRCsetA.txt	C	QG0266-C	8	5	7.32588	4	25
output_DRCsetA.txt	C	QG0267-C	6	2	7.41435	2	24
output_DRCsetA.txt	C	QG0268-C	3	2	2.93164	2	11
output_DRCsetA.txt	C	QG0269-C	2	1	3.08942	1	11
output_DRCsetA.txt	C	QG0270-C	2	1	3.23857	1	12
output_DRCsetA.txt	C	QG0271-C	4	2	3.97538	1	14
output_DRCsetA.txt	C	QG0273-C	3	2	2.83567	2	12
output_DRCsetA.txt	C	QG0274-C	3	1	4.00669	1	15
output_DRCsetA.txt	C	QG0275-C	2	1	3.13919	1	11
output_DRCsetA.txt	C	QG0276-C	2	1	2.3924	1	8.02499999999998
output_DRCsetA.txt	C	QG0277-C	2	1	3.08053	1	11
output_DRCsetA.txt	C	QG0278-C	4	2	3.45054	2	13
output_DRCsetA.txt	C	QG0279-C	5	2	5.75038	2	19
output_DRCsetA.txt	C	QG0280-C	4	2	3.75659	2	14
output_DRCsetA.txt	C	QG0281-C	3	1	3.70061	1	12
output_DRCsetA.txt	C	QG0282-C	2	1	2.8483	1	10
output_DRCsetA.txt	C	QG0284-C	8	4	7.41169	3	25
output_DRCsetA.txt	C	QG0285-C	4	2	4.00285	2	15
output_DRCsetA.txt	C	QG0286-C	3	1	4.27904	1	16
output_DRCsetA.txt	C	QG0287-C	3	1	3.38932	1	13
output_DRCsetA.txt	C	QG0288-C	6	3	6.74457	3	23
output_DRCsetA.txt	C	QG0289-C	6	3	6.51238	2	21
output_DRCsetA.txt	C	QG0290-C	4	2	3.74398	2	14
output_DRCsetA.txt	C	QG0291-C	3	1	4.0077	1	15
output_DRCsetA.txt	C	QG0292-C	3	1	3.41899	1	11
output_DRCsetA.txt	C	QG0293-C	5	2	5.66174	2	21
output_DRCsetA.txt	C	QG0294-C	4	2	3.25214	2	13
output_DRCsetA.txt	C	QG0295-C	2	1	3.22729	1	11
output_DRCsetA.txt	C	QG0296-C	3	1	3.98714	1	14
output_DRCsetA.txt	C	QG0297-C	4	2	3.26379	2	13
output_DRCsetA.txt	C	QG0298-C	2	1	3.009	1	11
output_DRCsetA.txt	C	QG0299-C	3	1	3.89941	1	14
output_DRCsetA.txt	C	QG0300-C	3	1	3.88885	1	13
output_DRCsetA.txt	P	Pf3D7_01_v3|180554	0.145630185	0.165084	0.06422	0.01819	0.230887
output_DRCsetA.txt	P	Pf3D7_01_v3|338272	0.267033326	0.304964	0.10773	0.04643	0.3979433
output_DRCsetA.txt	P	Pf3D7_01_v3|516414	0.479534045	0.558079	0.18158	0.101054	0.6427434
output_DRCsetA.txt	P	Pf3D7_01_v3|530967	0.697216205	0.790768	0.23971	0.1350109	0.937843275
output_DRCsetA.txt	P	Pf3D7_01_v3|537147	0.53721519	0.619592	0.19898	0.109276	0.716347725
output_DRCsetA.txt	P	Pf3D7_01_v3|558278	0.240029181	0.2746	0.09887	0.042524	0.3671225
output_DRCsetA.txt	P	Pf3D7_02_v3|582922	0.176178846	0.200042	0.07624	0.024199	0.278019325
output_DRCsetA.txt	P	Pf3D7_02_v3|759265	0.119935047	0.130192	0.0555	0.01813	0.201808
output_DRCsetA.txt	P	Pf3D7_02_v3|766632	0.566301136	0.648653	0.20106	0.115637475	0.736667
output_DRCsetA.txt	P	Pf3D7_02_v3|792272	0.451532625	0.521061	0.17256	0.087316	0.625732
output_DRCsetA.txt	P	Pf3D7_02_v3|805840	0.379638616	0.436138	0.14364	0.078217	0.513851
output_DRCsetA.txt	P	Pf3D7_02_v3|861336	0.099905197	0.111311	0.04661	0.015011	0.170532875
output_DRCsetA.txt	P	Pf3D7_03_v3|136977	0.524583548	0.57329	0.16277	0.130135	0.774388
output_DRCsetA.txt	P	Pf3D7_03_v3|139831	0.447165075	0.513505	0.17284	0.081328	0.609588
output_DRCsetA.txt	P	Pf3D7_03_v3|140417	0.128426813	0.145255	0.05718	0.016967	0.214448
output_DRCsetA.txt	P	Pf3D7_03_v3|202441	0.135392684	0.149361	0.05751	0.024827	0.22184465
output_DRCsetA.txt	P	Pf3D7_03_v3|229769	0.179302685	0.2017605	0.07809	0.032518	0.285094
output_DRCsetA.txt	P	Pf3D7_03_v3|878750	0.206329567	0.235935	0.08357	0.034155	0.305052
output_DRCsetA.txt	P	Pf3D7_04_v3|461623	0.505655383	0.580752	0.18764	0.100763875	0.661422
output_DRCsetA.txt	P	Pf3D7_04_v3|537511	0.704263556	0.803494	0.23508	0.1724763	0.872587
output_DRCsetA.txt	P	Pf3D7_04_v3|541856	0.329551617	0.3814375	0.13245	0.058047875	0.455654
output_DRCsetA.txt	P	Pf3D7_04_v3|695547	0.200456017	0.2299115	0.08402	0.032486	0.297116
output_DRCsetA.txt	P	Pf3D7_04_v3|812570	0.090398108	0.098279	0.04106	0.010129	0.157148925
output_DRCsetA.txt	P	Pf3D7_04_v3|859387	0.171142586	0.1890435	0.07167	0.026096	0.26575745
output_DRCsetA.txt	P	Pf3D7_04_v3|884927	0.157482868	0.172894	0.06909	0.023456	0.251587425
output_DRCsetA.txt	P	Pf3D7_04_v3|991765	0.139024177	0.160348	0.0607	0.019985	0.218487
output_DRCsetA.txt	P	Pf3D7_04_v3|1043003	0.370895971	0.428451	0.14815	0.065628	0.512186925
output_DRCsetA.txt	P	Pf3D7_04_v3|1101577	0.390307498	0.448158	0.14938	0.078309	0.539071
output_DRCsetA.txt	P	Pf3D7_04_v3|1134543	0.138604184	0.154809	0.06024	0.019799	0.222444725
output_DRCsetA.txt	P	Pf3D7_04_v3|1140614	0.133640077	0.149577	0.05958	0.018409	0.218985
output_DRCsetA.txt	P	Pf3D7_05_v3|69940	0.075500503	0.080464	0.03743	0.009373	0.138934
output_DRCsetA.txt	P	Pf3D7_05_v3|469926	0.090645074	0.099725	0.04294	0.008972	0.15966
output_DRCsetA.txt	P	Pf3D7_05_v3|922187	0.170192875	0.190459	0.07408	0.02559	0.268522
output_DRCsetA.txt	P	Pf3D7_05_v3|951120	0.088069788	0.097252	0.04421	0.011111	0.163171
output_DRCsetA.txt	P	Pf3D7_05_v3|1218654	0.300227275	0.342959	0.12148	0.048732	0.441031
output_DRCsetA.txt	P	Pf3D7_06_v3|614617	0.410677509	0.476828	0.16588	0.060733	0.565334325
output_DRCsetA.txt	P	Pf3D7_06_v3|967350	0.132618978	0.145694	0.06078	0.019704	0.217956575
output_DRCsetA.txt	P	Pf3D7_06_v3|1274870	0.295469953	0.3381215	0.11509	0.05821	0.415008
output_DRCsetA.txt	P	Pf3D7_06_v3|1275640	0.118918483	0.13215	0.05248	0.016221	0.19554425
output_DRCsetA.txt	P	Pf3D7_07_v3|77585	0.518834448	0.593395	0.18861	0.100978	0.675730225
output_DRCsetA.txt	P	Pf3D7_07_v3|80188	0.547086805	0.626197	0.19191	0.129895	0.710482
output_DRCsetA.txt	P	Pf3D7_07_v3|80386	0.33725755	0.387268	0.13492	0.057253	0.469779
output_DRCsetA.txt	P	Pf3D7_07_v3|405600	0.225508711	0.258053	0.09828	0.025548	0.339669
output_DRCsetA.txt	P	Pf3D7_07_v3|466109	0.335240083	0.385845	0.1356	0.062232	0.468150525
output_DRCsetA.txt	P	Pf3D7_07_v3|495789	0.826452716	0.851826	0.15485	0.206992	0.979014
output_DRCsetA.txt	P	Pf3D7_07_v3|619924	0.285752156	0.325363	0.11496	0.042813	0.41606375
output_DRCsetA.txt	P	Pf3D7_07_v3|1253237	0.112339504	0.125637	0.0505	0.019208	0.185923075
output_DRCsetA.txt	P	Pf3D7_08_v3|399774	0.117554793	0.128611	0.0535	0.019745	0.195084
output_DRCsetA.txt	P	Pf3D7_08_v3|1201455	0.467019108	0.534067	0.17708	0.083705	0.635823
output_DRCsetA.txt	P	Pf3D7_08_v3|1227962	0.316668143	0.363739	0.12976	0.050768	0.459536
output_DRCsetA.txt	P	Pf3D7_08_v3|1344569	0.155473887	0.17648	0.06889	0.022666	0.241321075
output_DRCsetA.txt	P	Pf3D7_08_v3|1364499	0.459890747	0.530992	0.174	0.088957	0.62842925
output_DRCsetA.txt	P	Pf3D7_09_v3|170441	0.40780051	0.469191	0.16043	0.072938	0.560922
output_DRCsetA.txt	P	Pf3D7_09_v3|248414	0.09123316	0.099195	0.0411	0.014751	0.14927665
output_DRCsetA.txt	P	Pf3D7_09_v3|1206885	0.110157737	0.118888	0.04879	0.016735	0.185151
output_DRCsetA.txt	P	Pf3D7_09_v3|1270380	0.283272396	0.328365	0.11701	0.045099	0.405842175
output_DRCsetA.txt	P	Pf3D7_09_v3|1316936	0.152491398	0.1719455	0.06851	0.018097	0.2470108
output_DRCsetA.txt	P	Pf3D7_10_v3|331664	0.152815946	0.170966	0.06477	0.027585	0.24254125
output_DRCsetA.txt	P	Pf3D7_10_v3|335297	0.586914267	0.673495	0.21106	0.1205	0.757548925
output_DRCsetA.txt	P	Pf3D7_10_v3|669306	0.477893805	0.551922	0.18166	0.095351125	0.64192025
output_DRCsetA.txt	P	Pf3D7_10_v3|930061	0.09520638	0.105639	0.0446	0.013779	0.162595675
output_DRCsetA.txt	P	Pf3D7_10_v3|1382419	0.086928805	0.097494	0.04143	0.01321	0.155443
output_DRCsetA.txt	P	Pf3D7_10_v3|1397757	0.241952725	0.278122	0.10172	0.032625	0.361158
output_DRCsetA.txt	P	Pf3D7_10_v3|1399091	0.23587405	0.267521	0.09958	0.037157	0.364208
output_DRCsetA.txt	P	Pf3D7_10_v3|1433279	0.510879006	0.5804295	0.18263	0.122367	0.68745
output_DRCsetA.txt	P	Pf3D7_10_v3|1433766	0.462961032	0.541867	0.17878	0.077273	0.618435925
output_DRCsetA.txt	P	Pf3D7_10_v3|1433965	0.42088716	0.478914	0.16239	0.074471	0.576275
output_DRCsetA.txt	P	Pf3D7_11_v3|131348	0.141899859	0.1561195	0.06306	0.022657	0.227789
output_DRCsetA.txt	P	Pf3D7_11_v3|410321	0.521895965	0.611306	0.20871	0.083332	0.703304
output_DRCsetA.txt	P	Pf3D7_11_v3|947282	0.149986019	0.165566	0.06779	0.020176	0.244862425
output_DRCsetA.txt	P	Pf3D7_11_v3|1059674	0.100433618	0.105688	0.04487	0.020333	0.179263175
output_DRCsetA.txt	P	Pf3D7_11_v3|1294453	0.50912986	0.578177	0.17954	0.088755	0.67333525
output_DRCsetA.txt	P	Pf3D7_11_v3|1602901	0.102953621	0.110965	0.04693	0.016708	0.179735375
output_DRCsetA.txt	P	Pf3D7_11_v3|2001118	0.424983615	0.48944	0.16278	0.084877	0.578624
output_DRCsetA.txt	P	Pf3D7_12_v3|1069826	0.095640939	0.108609	0.0451	0.011126	0.161383
output_DRCsetA.txt	P	Pf3D7_12_v3|1118681	0.113302704	0.126477	0.05003	0.016851	0.186575
output_DRCsetA.txt	P	Pf3D7_12_v3|1160091	0.128726643	0.146114	0.05772	0.01964	0.205471
output_DRCsetA.txt	P	Pf3D7_12_v3|1913509	0.316455687	0.361037	0.12965	0.048376975	0.449775
output_DRCsetA.txt	P	Pf3D7_13_v3|409854	0.15017959	0.1684365	0.06688	0.020859	0.250449
output_DRCsetA.txt	P	Pf3D7_13_v3|1429237	0.17882497	0.1943305	0.09088	0.019635	0.336841
output_DRCsetA.txt	P	Pf3D7_13_v3|2302511	0.418724323	0.4807065	0.16137	0.074043	0.561546
output_DRCsetA.txt	P	Pf3D7_13_v3|2474647	0.074566748	0.082301	0.03572	0.006488	0.1263397
output_DRCsetA.txt	P	Pf3D7_13_v3|2548087	0.083043834	0.092001	0.03796	0.009955	0.142134
output_DRCsetA.txt	P	Pf3D7_13_v3|2640170	0.093185954	0.103991	0.04429	0.010622	0.165205
output_DRCsetA.txt	P	Pf3D7_13_v3|2787490	0.407049559	0.468062	0.15564	0.07457	0.559684025
output_DRCsetA.txt	P	Pf3D7_14_v3|336220	0.45190949	0.522642	0.16493	0.086504	0.609094475
output_DRCsetA.txt	P	Pf3D7_14_v3|536550	0.253927739	0.288342	0.10568	0.034611	0.371897
output_DRCsetA.txt	P	Pf3D7_14_v3|602104	0.216817382	0.246473	0.09321	0.033134025	0.335209
output_DRCsetA.txt	P	Pf3D7_14_v3|868353	0.871437354	0.880687	0.12051	0.32187	0.979605
output_DRCsetA.txt	P	Pf3D7_14_v3|1038377	0.363962978	0.422339	0.14145	0.06194	0.493701
output_DRCsetA.txt	P	Pf3D7_14_v3|1594368	0.226128597	0.260459	0.09614	0.034636	0.34121795
output_DRCsetA.txt	P	Pf3D7_14_v3|1707737	0.08868087	0.097021	0.04137	0.011121	0.157273
output_DRCsetA.txt	P	Pf3D7_14_v3|1853594	0.191307337	0.217406	0.08172	0.027298	0.30310805
output_DRCsetA.txt	P	Pf3D7_14_v3|2614155	0.174987073	0.199143	0.07585	0.026598	0.273302
output_DRCsetA.txt	P	Pf3D7_14_v3|2757993	0.125035777	0.1411835	0.05605	0.014456	0.198620425
output_DRCsetA.txt	P	Pf3D7_14_v3|3193848	0.424616225	0.488682	0.16681	0.074666	0.598051
output_DRCsetA.txt	e1	e1	0.018675031	0.021304	0.00806	0.000774	0.026472
output_DRCsetA.txt	e2	e2	0.057804743	0.0584045	0.00205	0.05134785	0.059978
