file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
output_DRCsetA.txt	C	QG0182-C	4	2	3.78727	2	14.025
output_DRCsetA.txt	C	QG0183-C	5	3	5.07787	2	18
output_DRCsetA.txt	C	QG0184-C	2	1	3.11449	1	11
output_DRCsetA.txt	C	QG0185-C	4	2	3.72284	2	14
output_DRCsetA.txt	C	QG0186-C	1	1	1.926	1	7
output_DRCsetA.txt	C	QG0187-C	3	1	3.88227	1	13
output_DRCsetA.txt	C	QG0188-C	2	1	2.80715	1	10
output_DRCsetA.txt	C	QG0189-C	6	3	6.13973	2	22
output_DRCsetA.txt	C	QG0190-C	3	1	3.07696	1	11
output_DRCsetA.txt	C	QG0191-C	6	3	6.70149	2	23
output_DRCsetA.txt	C	QG0192-C	4	2	4.95551	2	17
output_DRCsetA.txt	C	QG0193-C	6	3	6.151	3	23
output_DRCsetA.txt	C	QG0194-C	4	2	4.20626	2	15
output_DRCsetA.txt	C	QG0195-C	2	1	2.16258	1	9
output_DRCsetA.txt	C	QG0196-C	3	1	4.41346	1	14
output_DRCsetA.txt	C	QG0197-C	8	4	7.13012	3	25
output_DRCsetA.txt	C	QG0198-C	5	3	5.10628	2	19
output_DRCsetA.txt	C	QG0200-C	2	1	3.01472	1	10
output_DRCsetA.txt	C	QG0201-C	2	1	2.96302	1	11
output_DRCsetA.txt	C	QG0202-C	2	1	2.94541	1	10
output_DRCsetA.txt	C	QG0203-C	4	2	4.55671	2	16
output_DRCsetA.txt	C	QG0204-C	2	1	3.10167	1	12
output_DRCsetA.txt	C	QG0205-C	2	1	2.97498	1	10
output_DRCsetA.txt	C	QG0206-C	4	2	3.83428	2	15
output_DRCsetA.txt	C	QG0207-C	6	2	6.98947	2	22.025
output_DRCsetA.txt	C	QG0208-C	3	1	4.78556	1	15
output_DRCsetA.txt	C	QG0209-C	3	1	3.83298	1	13
output_DRCsetA.txt	C	QG0210-C	2	1	2.40411	1	8
output_DRCsetA.txt	C	QG0211-C	3	1	4.75211	1	16
output_DRCsetA.txt	C	QG0212-C	6	3	6.36396	2	22
output_DRCsetA.txt	C	QG0213-C	5	2	5.45607	2	19
